track_id,title,artist,rank,preview
66609426,Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers),Daft Punk,955732,"https://cdnt-preview.dzcdn.net/api/1/1/1/b/f/0/1bf80a82992903ff685ba1b7275223f8.mp3?hdnea=exp=1750683288~acl=/api/1/1/1/b/f/0/1bf80a82992903ff685ba1b7275223f8.mp3*~data=user_id=0,application_id=42~hmac=8c83bd12b11b409bb14cbd806f8700de84cad1cfdeeed0373f7c0f4febfe5055"
884025,Dancing Queen,ABBA,939226,"https://cdnt-preview.dzcdn.net/api/1/1/9/1/6/0/916f7137187790e999bc66e6460c07b2.mp3?hdnea=exp=1750683288~acl=/api/1/1/9/1/6/0/916f7137187790e999bc66e6460c07b2.mp3*~data=user_id=0,application_id=42~hmac=794068a105844ffbf3b5094a560ae1c8064fe5587eac5539e8aaa4ebaf479dae"
884041,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,934457,"https://cdnt-preview.dzcdn.net/api/1/1/2/2/6/0/226a47aea4a61fe2e70fa4b5ae1beac5.mp3?hdnea=exp=1750683288~acl=/api/1/1/2/2/6/0/226a47aea4a61fe2e70fa4b5ae1beac5.mp3*~data=user_id=0,application_id=42~hmac=2d98c86a5a52376c1a9bfb2ecae0e1fb35d8c89ff1845511dfbf23cde34eb409"
4763165,Beat It,Michael Jackson,905531,"https://cdnt-preview.dzcdn.net/api/1/1/1/7/2/0/1726d9ef2d75c2d3adfb4f82a06ab589.mp3?hdnea=exp=1750683288~acl=/api/1/1/1/7/2/0/1726d9ef2d75c2d3adfb4f82a06ab589.mp3*~data=user_id=0,application_id=42~hmac=35b3c1309da8a227e96ac60a8b056367e630f84416851a58f61631f052541392"
4077573,Born to Be Alive (The Original),Patrick Hernandez,879750,"https://cdnt-preview.dzcdn.net/api/1/1/7/e/7/0/7e792b5e2b606282d58f403c34ad0a22.mp3?hdnea=exp=1750683288~acl=/api/1/1/7/e/7/0/7e792b5e2b606282d58f403c34ad0a22.mp3*~data=user_id=0,application_id=42~hmac=ada34d17e75b7662a1de8e11852f6c67b55bd21c440de0a564b85e1cf0bd3394"
7157487,YMCA (Original Version 1978),Village People,824943,"https://cdnt-preview.dzcdn.net/api/1/1/6/6/d/0/66d1b7bdd49333abb671b8cfb14eded2.mp3?hdnea=exp=1750683288~acl=/api/1/1/6/6/d/0/66d1b7bdd49333abb671b8cfb14eded2.mp3*~data=user_id=0,application_id=42~hmac=1d22d313cd5c8b21c1cdd81d6473488cf33ed1bde140b820deaa5b55f10dd4b2"
2550736,Da Ya Think I'm Sexy?,Rod Stewart,814778,"https://cdnt-preview.dzcdn.net/api/1/1/f/a/6/0/fa6b3917ef450a630ead36f4141a07e4.mp3?hdnea=exp=1750683288~acl=/api/1/1/f/a/6/0/fa6b3917ef450a630ead36f4141a07e4.mp3*~data=user_id=0,application_id=42~hmac=f2e10db8f1e6ad13c3ccc8008100e9b4f410fb78492221162e86d3a67bdf3fae"
76376889,Waterloo,ABBA,808995,"https://cdnt-preview.dzcdn.net/api/1/1/5/0/c/0/50c431836b0b7a99cb46b3e9755cfcdb.mp3?hdnea=exp=1750683288~acl=/api/1/1/5/0/c/0/50c431836b0b7a99cb46b3e9755cfcdb.mp3*~data=user_id=0,application_id=42~hmac=b29755ea8c6b03e84762125d7885cfd26e0a934a2bc71617f2f12bfebd7e8121"
555755,It's Raining Men,The Weather Girls,794806,"https://cdnt-preview.dzcdn.net/api/1/1/7/c/8/0/7c8cecb1957ab39f24bca09fd70df7ab.mp3?hdnea=exp=1750683288~acl=/api/1/1/7/c/8/0/7c8cecb1957ab39f24bca09fd70df7ab.mp3*~data=user_id=0,application_id=42~hmac=ac8c0ec40b23b179caadb55dce0b364e302df04543e0e035b64e856b4b3f8bf6"
4677572,Upside Down,Diana Ross,794053,"https://cdnt-preview.dzcdn.net/api/1/1/a/b/8/0/ab87d07617b2b77d1bf691dc790439b4.mp3?hdnea=exp=1750683288~acl=/api/1/1/a/b/8/0/ab87d07617b2b77d1bf691dc790439b4.mp3*~data=user_id=0,application_id=42~hmac=ffef3cb58a1347c5536005f095108ff4e23e20c72f75d726ac49f5fa69608f99"
906583,Celebration (Single Version),Kool & The Gang,780877,"https://cdnt-preview.dzcdn.net/api/1/1/3/b/e/0/3bebced505b5d50d03f3f088adb07e97.mp3?hdnea=exp=1750683288~acl=/api/1/1/3/b/e/0/3bebced505b5d50d03f3f088adb07e97.mp3*~data=user_id=0,application_id=42~hmac=3a97054453bf527c94f3fbd9f7b993441d8f06a769f5a237d61364c160f3e7af"
13129197,Don't Stop 'Til You Get Enough (2003 Edit),Michael Jackson,773699,"https://cdnt-preview.dzcdn.net/api/1/1/5/4/6/0/546dfff319d0d862b30fefc5be74327c.mp3?hdnea=exp=1750683288~acl=/api/1/1/5/4/6/0/546dfff319d0d862b30fefc5be74327c.mp3*~data=user_id=0,application_id=42~hmac=9568ea6b471e14077fc1d150bd516e177b81739e65bb97a3feeb5ca5d89dd1d0"
62960815,Last Night a D.J. Saved My Life,Indeep,766647,"https://cdnt-preview.dzcdn.net/api/1/1/d/8/3/0/d838e14d481bbbb36562d7ea64c89ce2.mp3?hdnea=exp=1750683288~acl=/api/1/1/d/8/3/0/d838e14d481bbbb36562d7ea64c89ce2.mp3*~data=user_id=0,application_id=42~hmac=88b1874e44232cdfe91d90212c04c95db7af92983b31e66b1aa66449899ab75a"
846327,We Are Family (1995 Remaster),Sister Sledge,759449,"https://cdnt-preview.dzcdn.net/api/1/1/c/4/9/0/c49d90ea610129caa520f6d7262ceb0e.mp3?hdnea=exp=1750683288~acl=/api/1/1/c/4/9/0/c49d90ea610129caa520f6d7262ceb0e.mp3*~data=user_id=0,application_id=42~hmac=3ff0c512c7a6b99f49d84d1179c75b3887561a3f6fcb0d31d642cad6408ad26b"
3380575031,Human Now,Anyma,756887,"https://cdnt-preview.dzcdn.net/api/1/1/0/b/8/0/0b8a4f51578e54bfba25c3219026f675.mp3?hdnea=exp=1750683288~acl=/api/1/1/0/b/8/0/0b8a4f51578e54bfba25c3219026f675.mp3*~data=user_id=0,application_id=42~hmac=80606d36798ecd946e447b844f43b6a099f17011afcb7ed8cb090328f04f63d1"
3233989261,Song for You,Myd,753946,"https://cdnt-preview.dzcdn.net/api/1/1/d/3/4/0/d34e7e69b5852c62aecff7c78356cff3.mp3?hdnea=exp=1750683289~acl=/api/1/1/d/3/4/0/d34e7e69b5852c62aecff7c78356cff3.mp3*~data=user_id=0,application_id=42~hmac=d848082cc741948b18ec0850b75061600456420fa471ef5ff02b2559ba6f8340"
