track_id,title,artist,rank,preview
676183,In the End,Linkin Park,984072,"https://cdnt-preview.dzcdn.net/api/1/1/9/b/3/0/9b3b33fa47f00eb43729de30e8027afa.mp3?hdnea=exp=1750683405~acl=/api/1/1/9/b/3/0/9b3b33fa47f00eb43729de30e8027afa.mp3*~data=user_id=0,application_id=42~hmac=de6dabe649c8de3a38bfd2fda0df6455e7f2d145c7e33e3ef922d645103a1599"
138547415,Creep,Radiohead,978547,"https://cdnt-preview.dzcdn.net/api/1/1/b/9/c/0/b9c4cde36fbe176cc3e84dc08fc0611b.mp3?hdnea=exp=1750683405~acl=/api/1/1/b/9/c/0/b9c4cde36fbe176cc3e84dc08fc0611b.mp3*~data=user_id=0,application_id=42~hmac=fb22f1555cc43e8be63f6209fccd86d969060d37865a0cafb4640ed0a38c48bd"
92719900,Highway to Hell,AC/DC,978152,"https://cdnt-preview.dzcdn.net/api/1/1/d/7/1/0/d7183d3dd28d85289690100ef5d7c78e.mp3?hdnea=exp=1750683403~acl=/api/1/1/d/7/1/0/d7183d3dd28d85289690100ef5d7c78e.mp3*~data=user_id=0,application_id=42~hmac=ae2b0cbcb6f0ecbc164f09e891c71515ec2fd4f48cbe862fd45981a3c8bdbc04"
2704610682,Too Sweet,Hozier,974399,"https://cdnt-preview.dzcdn.net/api/1/1/d/a/7/0/da77b34adced724758a0a5b8ea3269e4.mp3?hdnea=exp=1750683406~acl=/api/1/1/d/a/7/0/da77b34adced724758a0a5b8ea3269e4.mp3*~data=user_id=0,application_id=42~hmac=35a62a3723a02a13f8b9c248031aef43135b49c97c70a6915bc023bf17f02e34"
136334560,Losing My Religion,R.E.M.,973774,"https://cdnt-preview.dzcdn.net/api/1/1/4/e/f/0/4ef0a38d9159a0f45d5f16399db90862.mp3?hdnea=exp=1750683405~acl=/api/1/1/4/e/f/0/4ef0a38d9159a0f45d5f16399db90862.mp3*~data=user_id=0,application_id=42~hmac=f2255a82c7966d3c1d0f8ff858dfb245262e205c6791a1603b0978eeda62efbd"
92720046,Back In Black,AC/DC,966294,"https://cdnt-preview.dzcdn.net/api/1/1/8/2/b/0/82be918b42c3d26093b20d01e97e4a03.mp3?hdnea=exp=1750683405~acl=/api/1/1/8/2/b/0/82be918b42c3d26093b20d01e97e4a03.mp3*~data=user_id=0,application_id=42~hmac=a776b01b8de59a917b12e489b2527612136b6c498f8be7883119eb39d6373f2d"
2263033,Sultans Of Swing,Dire Straits,958351,"https://cdnt-preview.dzcdn.net/api/1/1/a/6/d/0/a6d79a23ede359bbfa9caf7a8e46e772.mp3?hdnea=exp=1750683405~acl=/api/1/1/a/6/d/0/a6d79a23ede359bbfa9caf7a8e46e772.mp3*~data=user_id=0,application_id=42~hmac=d0d24498b1eac71b279bb47a15368a967083cefcf9841e6936eecd47831b2e75"
725274,Californication,Red Hot Chili Peppers,957783,"https://cdnt-preview.dzcdn.net/api/1/1/8/d/9/0/8d9b720bd24f8933c4f9064965d1694f.mp3?hdnea=exp=1750683405~acl=/api/1/1/8/d/9/0/8d9b720bd24f8933c4f9064965d1694f.mp3*~data=user_id=0,application_id=42~hmac=8d862b2f59e32f9b4c6ca4aa66377399f699dc0c033d6751a9010cf21fd0366b"
13791932,Come As You Are,Nirvana,956254,"https://cdnt-preview.dzcdn.net/api/1/1/2/7/c/0/27c313fdbf4ae7aec1ac264c10e110e2.mp3?hdnea=exp=1750683405~acl=/api/1/1/2/7/c/0/27c313fdbf4ae7aec1ac264c10e110e2.mp3*~data=user_id=0,application_id=42~hmac=3ad3c75524545d47866ccd12af5a2f7cd90b2c951c12c56de45140df4bcc623d"
13791930,Smells Like Teen Spirit,Nirvana,955546,"https://cdnt-preview.dzcdn.net/api/1/1/3/4/b/0/34bad352aa1aa0f8eecbbc9c27a40eaf.mp3?hdnea=exp=1750683405~acl=/api/1/1/3/4/b/0/34bad352aa1aa0f8eecbbc9c27a40eaf.mp3*~data=user_id=0,application_id=42~hmac=4ab0048673a226b9b625b4a5c0086daf73607b8adbbd98b18c0b47be395bfc0e"
