filename,filepath,genre,mood
676183_In the End.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/676183_In the End.mp3,rock,emotional
138547415_Creep.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/138547415_Creep.mp3,rock,emotional
92719900_Highway to Hell.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/92719900_Highway to Hell.mp3,rock,emotional
2704610682_Too Sweet.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2704610682_Too Sweet.mp3,rock,dark
136334560_Losing My Religion.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/136334560_Losing My Religion.mp3,rock,dark
92720046_Back In Black.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/92720046_Back In Black.mp3,rock,emotional
2263033_Sultans Of Swing.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2263033_Sultans Of Swing.mp3,rock,emotional
725274_Californication.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/725274_Californication.mp3,rock,emotional
13791932_Come As You Are.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/13791932_Come As You Are.mp3,rock,emotional
13791930_Smells Like Teen Spirit.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/13791930_Smells Like Teen Spirit.mp3,rock,motivational
92720102_Thunderstruck.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/92720102_Thunderstruck.mp3,rock,epic
12209331_Don't Stop Me Now (Remastered .mp3,/content/drive/MyDrive/Artishow/Deezer/rock/12209331_Don't Stop Me Now (Remastered .mp3,rock,emotional
426703682_Hotel California (2013 Remaste.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/426703682_Hotel California (2013 Remaste.mp3,rock,romantic
4290138_Iris.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/4290138_Iris.mp3,rock,dream
936899_Where Is My Mind?.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/936899_Where Is My Mind?.mp3,rock,epic
538660022_Livin' On A Prayer.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/538660022_Livin' On A Prayer.mp3,rock,motivational
68515055_Enjoy the Silence.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/68515055_Enjoy the Silence.mp3,rock,dark
63480992_The Chain (2004 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/63480992_The Chain (2004 Remaster).mp3,rock,emotional
88003859_Stairway to Heaven (Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/88003859_Stairway to Heaven (Remaster).mp3,rock,dream
785176_Under the Bridge.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/785176_Under the Bridge.mp3,rock,motivational
1143625_Boys Don't Cry.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1143625_Boys Don't Cry.mp3,rock,emotional
518458092_Welcome To The Jungle.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/518458092_Welcome To The Jungle.mp3,rock,motivational
